Locus	Allele	OR	CI.lower	CI.upper	p.value	sig
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	Inf	0.34	Inf	0.05806	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-1-0-0	1.44	1.02	2.02	0.030057	*
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-10-0-0	4.03	1.28	14.9	0.0056155	*
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-0	0.63	0.47	0.85	0.0016227	*
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-4-0-0	0.69	0.48	0.97	0.025642	*
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-5-0-0	1.12	0.77	1.63	0.53309	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-6-0-0	1.09	0.63	1.85	0.73726	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-9-0-0	1.59	1.07	2.36	0.014996	*
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.78	0.42	1.39	0.38192	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-1-0-0	0.83	0.63	1.1	0.17642	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-10-0-0	3.36	1.13	11.13	0.012231	*
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-0	1.02	0.71	1.44	0.9155	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-5-0-0	0.73	0.48	1.09	0.10881	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-6-0-0	1.46	1.06	2.02	0.016631	*
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-7-0-0	1.13	0.68	1.86	0.61163	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-9-0-0	0.79	0.18	2.87	0.7029	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	NCalc	NCalc	NCalc	NCalc	NCalc
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-0	NCalc	NCalc	NCalc	NCalc	NCalc
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-0-0-0	NCalc	NCalc	NCalc	NCalc	NCalc
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-0-0	NCalc	NCalc	NCalc	NCalc	NCalc
