Locus	Allele	OR	CI.lower	CI.upper	p.value	sig
A	HLA-Aw0-0-1-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1.37	1.01	1.85	0.034539	*
A	HLA-Aw0-0-10-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.94	0.61	1.44	0.76094	NS
A	HLA-Aw0-0-12-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.55	0.22	1.2	0.11228	NS
A	HLA-Aw0-0-15-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.54	0.25	1.06	0.060755	NS
A	HLA-Aw0-0-17-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.78	0.38	1.52	0.43683	NS
A	HLA-Aw0-0-3-0-0-0-0-0-0-0-0-0-0-0-0-0-0	2.56	1.26	5.27	0.0038227	*
A	HLA-Aw0-0-4-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.6	0.44	0.83	0.0011764	*
A	HLA-Aw0-0-5-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1.59	1.07	2.36	0.014996	*
A	HLA-Aw0-0-7-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1.01	0.67	1.51	0.96225	NS
A	binned	Inf	0.74	Inf	0.020217	*
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.78	0.42	1.39	0.38192	NS
C	HLA-Cw0-0-1-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.82	0.36	1.75	0.58243	NS
C	HLA-Cw0-0-10-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1.49	1.07	2.08	0.013727	*
C	HLA-Cw0-0-13-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1.11	0.69	1.76	0.63986	NS
C	HLA-Cw0-0-17-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.79	0.18	2.87	0.7029	NS
C	HLA-Cw0-0-3-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.78	0.52	1.18	0.22357	NS
C	HLA-Cw0-0-4-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.73	0.48	1.09	0.10881	NS
