Locus	Allele	OR	CI.lower	CI.upper	p.value	sig
A	HLA-Aw0-0-0-0-0-1-0-0-0-0-0-0-0-0-0-0-0	1.24	0.95	1.63	0.10253	NS
A	HLA-Aw0-0-0-0-0-10-0-0-0-0-0-0-0-0-0-0-0	0.61	0.18	1.86	0.33397	NS
A	HLA-Aw0-0-0-0-0-28-0-0-0-0-0-0-0-0-0-0-0	0.9	0.54	1.51	0.67874	NS
A	HLA-Aw0-0-0-0-0-32-0-0-0-0-0-0-0-0-0-0-0	1.31	1	1.74	0.044937	*
A	HLA-Aw0-0-0-0-0-38-0-0-0-0-0-0-0-0-0-0-0	0.98	0.64	1.49	0.91952	NS
A	HLA-Aw0-0-0-0-0-46-0-0-0-0-0-0-0-0-0-0-0	1.37	0.6	3.19	0.41572	NS
A	HLA-Aw0-0-0-0-0-48-0-0-0-0-0-0-0-0-0-0-0	1.29	0.92	1.8	0.12723	NS
A	HLA-Aw0-0-0-0-0-56-0-0-0-0-0-0-0-0-0-0-0	1	0.67	1.51	0.996	NS
A	HLA-Aw0-0-0-0-0-65-0-0-0-0-0-0-0-0-0-0-0	0.62	0.33	1.14	0.098112	NS
A	HLA-Aw0-0-0-0-0-69-0-0-0-0-0-0-0-0-0-0-0	1.02	0.42	2.5	0.96206	NS
A	HLA-Aw0-0-0-0-0-70-0-0-0-0-0-0-0-0-0-0-0	3.31	1.15	11.59	0.013882	*
A	HLA-Aw0-0-0-0-0-72-0-0-0-0-0-0-0-0-0-0-0	0.82	0.47	1.44	0.46705	NS
A	HLA-Aw0-0-0-0-0-75-0-0-0-0-0-0-0-0-0-0-0	0.28	0.05	1.05	0.034769	*
A	HLA-Aw0-0-0-0-0-81-0-0-0-0-0-0-0-0-0-0-0	0.64	0.3	1.32	0.19718	NS
A	HLA-Aw0-0-0-0-0-82-0-0-0-0-0-0-0-0-0-0-0	1.71	0.7	4.46	0.20008	NS
A	HLA-Aw0-0-0-0-0-9-0-0-0-0-0-0-0-0-0-0-0	0.69	0.54	0.87	0.0011853	*
A	binned	1.23	0.48	3.19	0.63494	NS
C	HLA-Cw0-0-0-0-0-1-0-0-0-0-0-0-0-0-0-0-0	0.78	0.41	1.46	0.40602	NS
C	HLA-Cw0-0-0-0-0-10-0-0-0-0-0-0-0-0-0-0-0	0.89	0.27	2.83	0.8244	NS
C	HLA-Cw0-0-0-0-0-118-0-0-0-0-0-0-0-0-0-0-0	1.05	0.66	1.67	0.83936	NS
C	HLA-Cw0-0-0-0-0-129-0-0-0-0-0-0-0-0-0-0-0	0.51	0.14	1.64	0.20788	NS
C	HLA-Cw0-0-0-0-0-13-0-0-0-0-0-0-0-0-0-0-0	0.8	0.49	1.3	0.33518	NS
C	HLA-Cw0-0-0-0-0-135-0-0-0-0-0-0-0-0-0-0-0	0.75	0.37	1.48	0.36883	NS
C	HLA-Cw0-0-0-0-0-139-0-0-0-0-0-0-0-0-0-0-0	0.74	0.4	1.34	0.29068	NS
C	HLA-Cw0-0-0-0-0-144-0-0-0-0-0-0-0-0-0-0-0	2.58	0.94	8.15	0.043275	*
C	HLA-Cw0-0-0-0-0-27-0-0-0-0-0-0-0-0-0-0-0	0.67	0.48	0.91	0.0087709	*
C	HLA-Cw0-0-0-0-0-50-0-0-0-0-0-0-0-0-0-0-0	0.83	0.59	1.15	0.24186	NS
C	HLA-Cw0-0-0-0-0-64-0-0-0-0-0-0-0-0-0-0-0	0.8	0.58	1.1	0.15892	NS
C	HLA-Cw0-0-0-0-0-72-0-0-0-0-0-0-0-0-0-0-0	1.03	0.75	1.43	0.82997	NS
C	HLA-Cw0-0-0-0-0-85-0-0-0-0-0-0-0-0-0-0-0	1.2	0.92	1.56	0.17319	NS
C	HLA-Cw0-0-0-0-0-88-0-0-0-0-0-0-0-0-0-0-0	1.9	1.44	2.5	2.1052e-06	*
C	HLA-Cw0-0-0-0-0-93-0-0-0-0-0-0-0-0-0-0-0	0.93	0.35	2.42	0.86095	NS
C	binned	0.51	0.16	1.47	0.16731	NS
B	HLA-Bw0-0-0-0-0-1-0-0-0-0-0-0-0-0-0	1.99	1.5	2.64	6.65e-07	*
B	HLA-Bw0-0-0-0-0-10-0-0-0-0-0-0-0-0-0	1.45	1.06	1.99	0.014895	*
B	HLA-Bw0-0-0-0-0-105-0-0-0-0-0-0-0-0-0	0.67	0.44	0.99	0.035953	*
B	HLA-Bw0-0-0-0-0-107-0-0-0-0-0-0-0-0-0	0.63	0.35	1.12	0.093295	NS
B	HLA-Bw0-0-0-0-0-115-0-0-0-0-0-0-0-0-0	1.43	0.39	5.74	0.53988	NS
B	HLA-Bw0-0-0-0-0-125-0-0-0-0-0-0-0-0-0	1.12	0.59	2.11	0.71483	NS
B	HLA-Bw0-0-0-0-0-128-0-0-0-0-0-0-0-0-0	0.85	0.55	1.29	0.41525	NS
B	HLA-Bw0-0-0-0-0-144-0-0-0-0-0-0-0-0-0	1.18	0.67	2.1	0.53712	NS
B	HLA-Bw0-0-0-0-0-19-0-0-0-0-0-0-0-0-0	0.54	0.26	1.08	0.063023	NS
