Locus	Allele	OR	CI.lower	CI.upper	p.value	sig
A	HLA-Aw0-0-0-1-0-0-0-0-0-0-0-0-0-0-0-0-0	1.1	0.66	1.91	0.69795	NS
A	HLA-Aw0-0-0-20-0-0-0-0-0-0-0-0-0-0-0-0-0	1.07	0.68	1.7	0.77572	NS
A	HLA-Aw0-0-0-24-0-0-0-0-0-0-0-0-0-0-0-0-0	0.91	0.41	2.19	0.81674	NS
A	HLA-Aw0-0-0-30-0-0-0-0-0-0-0-0-0-0-0-0-0	1.07	0.59	2.01	0.81432	NS
A	HLA-Aw0-0-0-40-0-0-0-0-0-0-0-0-0-0-0-0-0	0.96	0.4	2.57	0.93048	NS
A	HLA-Aw0-0-0-5-0-0-0-0-0-0-0-0-0-0-0-0-0	0.74	0.48	1.15	0.14892	NS
A	HLA-Aw0-0-0-57-0-0-0-0-0-0-0-0-0-0-0-0-0	1.59	0.51	6.57	0.40971	NS
A	binned	1.16	0.67	2.08	0.57776	NS
C	HLA-Cw0-0-0-13-0-0-0-0-0-0-0-0-0-0-0-0-0	1.11	0.41	3.47	0.83169	NS
C	HLA-Cw0-0-0-14-0-0-0-0-0-0-0-0-0-0-0-0-0	0.55	0.25	1.23	0.095628	NS
C	HLA-Cw0-0-0-207-0-0-0-0-0-0-0-0-0-0-0-0-0	0.81	0.34	2.06	0.60558	NS
C	HLA-Cw0-0-0-22-0-0-0-0-0-0-0-0-0-0-0-0-0	0.72	0.36	1.48	0.31072	NS
C	HLA-Cw0-0-0-35-0-0-0-0-0-0-0-0-0-0-0-0-0	0.78	0.37	1.75	0.50036	NS
C	HLA-Cw0-0-0-40-0-0-0-0-0-0-0-0-0-0-0-0-0	1.97	0.84	5.35	0.10372	NS
C	HLA-Cw0-0-0-51-0-0-0-0-0-0-0-0-0-0-0-0-0	1.03	0.6	1.8	0.91884	NS
C	HLA-Cw0-0-0-53-0-0-0-0-0-0-0-0-0-0-0-0-0	0.95	0.64	1.42	0.79858	NS
C	HLA-Cw0-0-0-79-0-0-0-0-0-0-0-0-0-0-0-0-0	1.56	0.69	3.99	0.27023	NS
C	binned	1.27	0.7	2.4	0.41807	NS
B	HLA-Bw0-0-0-1-0-0-0-0-0-0-0-0-0-0-0	0.96	0.65	1.44	0.83965	NS
B	HLA-Bw0-0-0-109-0-0-0-0-0-0-0-0-0-0-0	1.43	0.55	4.38	0.44066	NS
B	HLA-Bw0-0-0-128-0-0-0-0-0-0-0-0-0-0-0	1.59	0.51	6.57	0.40971	NS
B	HLA-Bw0-0-0-25-0-0-0-0-0-0-0-0-0-0-0	1.01	0.42	2.68	0.97791	NS
B	HLA-Bw0-0-0-40-0-0-0-0-0-0-0-0-0-0-0	1.87	0.84	4.73	0.11237	NS
B	HLA-Bw0-0-0-53-0-0-0-0-0-0-0-0-0-0-0	0.72	0.35	1.57	0.34786	NS
B	HLA-Bw0-0-0-7-0-0-0-0-0-0-0-0-0-0-0	0.98	0.51	1.97	0.94583	NS
B	HLA-Bw0-0-0-78-0-0-0-0-0-0-0-0-0-0-0	1.11	0.44	3.15	0.81782	NS
B	HLA-Bw0-0-0-90-0-0-0-0-0-0-0-0-0-0-0	0.71	0.39	1.33	0.23546	NS
B	binned	0.94	0.58	1.57	0.80074	NS
DRB1	HLA-DRB1w0-0-0-133-0-0-0-0-0-0-0-0-0	1.92	0.86	4.86	0.096193	NS
DRB1	HLA-DRB1w0-0-0-15-0-0-0-0-0-0-0-0-0	0.48	0.18	1.31	0.092954	NS
DRB1	HLA-DRB1w0-0-0-1656-0-0-0-0-0-0-0-0-0	1.19	0.82	1.73	0.34473	NS
DRB1	HLA-DRB1w0-0-0-296-0-0-0-0-0-0-0-0-0	0.48	0.2	1.19	0.06987	NS
DRB1	HLA-DRB1w0-0-0-587-0-0-0-0-0-0-0-0-0	0.96	0.48	2.04	0.90082	NS
DRB1	HLA-DRB1w0-0-0-837-0-0-0-0-0-0-0-0-0	0.79	0.27	2.58	0.6392	NS
DRB1	binned	0.92	0.57	1.52	0.73478	NS
DQB1	HLA-DQB1w0-0-0-1-0-0-0-0-0-0-0-0-0	1.38	0.78	2.57	0.25045	NS
DQB1	HLA-DQB1w0-0-0-115-0-0-0-0-0-0-0-0-0	1.16	0.47	3.29	0.73241	NS
DQB1	HLA-DQB1w0-0-0-378-0-0-0-0-0-0-0-0-0	0.55	0.24	1.33	0.12973	NS
DQB1	HLA-DQB1w0-0-0-526-0-0-0-0-0-0-0-0-0	1.28	0.88	1.86	0.18173	NS
DQB1	HLA-DQB1w0-0-0-549-0-0-0-0-0-0-0-0-0	0.45	0.19	1.12	0.048733	*
DQB1	HLA-DQB1w0-0-0-91-0-0-0-0-0-0-0-0-0	0.67	0.38	1.22	0.15316	NS
DQB1	binned	1.01	0.54	1.98	0.96792	NS
DPB1	HLA-DPB1w0-0-0-27-0-0-0-0-0-0-0	1.47	0.76	3.03	0.23735	NS
DPB1	HLA-DPB1w0-0-0-34-0-0-0-0-0-0-0	0.79	0.54	1.15	0.20264	NS
DPB1	HLA-DPB1w0-0-0-65-0-0-0-0-0-0-0	0.9	0.48	1.74	0.72521	NS
DPB1	HLA-DPB1w0-0-0-9-0-0-0-0-0-0-0	1.19	0.65	2.27	0.55202	NS
DPB1	binned	1.14	0.68	1.97	0.60369	NS
