Locus	Allele	OR	CI.lower	CI.upper	p.value	sig
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-1-0-0-0-0-0-0	1.1	0.66	1.91	0.69795	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-11-0-0-0-0-0-0	0.91	0.44	2.01	0.7984	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-12-0-0-0-0-0-0	0.9	0.42	2.05	0.76717	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-17-0-0-0-0-0-0	1.59	0.51	6.57	0.40971	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-2-0-0-0-0-0-0	0.81	0.53	1.23	0.28533	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-5-0-0-0-0-0-0	1.07	0.68	1.7	0.77572	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-7-0-0-0-0-0-0	0.91	0.41	2.19	0.81674	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-9-0-0-0-0-0-0	1.07	0.59	2.01	0.81432	NS
A	binned	3.74	0.52	163.12	0.17918	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.98	0.43	2.45	0.95883	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-1-0-0-0-0-0-0	0.78	0.42	1.49	0.40122	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-2-0-0-0-0-0-0	1.43	0.89	2.35	0.12119	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-6-0-0-0-0-0-0	0.71	0.39	1.35	0.24882	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-8-0-0-0-0-0-0	0.97	0.67	1.41	0.86697	NS
C	binned	1.05	0.51	2.28	0.89894	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-1-0-0-0-0	0.96	0.65	1.44	0.83965	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-11-0-0-0-0	1.87	0.84	4.73	0.11237	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-15-0-0-0-0	1.03	0.58	1.91	0.91943	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-19-0-0-0-0	0.71	0.39	1.33	0.23546	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-2-0-0-0-0	1.06	0.56	2.12	0.85342	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-25-0-0-0-0	1.49	0.47	6.21	0.48008	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-5-0-0-0-0	1.41	0.5	4.93	0.49507	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-7-0-0-0-0	1.06	0.45	2.8	0.88941	NS
B	binned	0.8	0.49	1.32	0.34471	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-0	1.18	0.41	4.2	0.7463	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-1-0-0	0.61	0.26	1.53	0.2236	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-15-0-0	0.64	0.26	1.68	0.29388	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-17-0-0	1.19	0.82	1.73	0.34473	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-3-0-0	1.38	0.75	2.66	0.27594	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-4-0-0	0.52	0.24	1.17	0.071715	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-7-0-0	0.96	0.48	2.04	0.90082	NS
DRB1	binned	1.01	0.49	2.21	0.97259	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-1-0-0	1.97	0.89	4.98	0.082152	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-10-0-0	1.11	0.76	1.61	0.5774	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-2-0-0	0.88	0.39	2.1	0.73239	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-3-0-0	0.69	0.39	1.25	0.18052	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-4-0-0	1.01	0.42	2.68	0.97791	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-6-0-0	0.55	0.24	1.33	0.12973	NS
DQB1	binned	1.06	0.56	2.12	0.85342	NS
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-0-0	NCalc	NCalc	NCalc	NCalc	NCalc
