Locus	Allele	OR	CI.lower	CI.upper	p.value	sig
A	HLA-Aw0-0-0-0-0-1-0-0-0-0-0-0-0-0-0-0-0	1.1	0.66	1.91	0.69795	NS
A	HLA-Aw0-0-0-0-0-28-0-0-0-0-0-0-0-0-0-0-0	1.59	0.51	6.57	0.40971	NS
A	HLA-Aw0-0-0-0-0-32-0-0-0-0-0-0-0-0-0-0-0	1.09	0.69	1.75	0.69752	NS
A	HLA-Aw0-0-0-0-0-38-0-0-0-0-0-0-0-0-0-0-0	0.91	0.41	2.19	0.81674	NS
A	HLA-Aw0-0-0-0-0-48-0-0-0-0-0-0-0-0-0-0-0	1.17	0.61	2.39	0.61983	NS
A	HLA-Aw0-0-0-0-0-56-0-0-0-0-0-0-0-0-0-0-0	1	0.47	2.28	0.99332	NS
A	HLA-Aw0-0-0-0-0-72-0-0-0-0-0-0-0-0-0-0-0	1.49	0.47	6.21	0.48008	NS
A	HLA-Aw0-0-0-0-0-9-0-0-0-0-0-0-0-0-0-0-0	0.73	0.47	1.12	0.12447	NS
A	binned	0.98	0.54	1.85	0.94007	NS
C	HLA-Cw0-0-0-0-0-118-0-0-0-0-0-0-0-0-0-0-0	1.41	0.61	3.63	0.40234	NS
C	HLA-Cw0-0-0-0-0-13-0-0-0-0-0-0-0-0-0-0-0	0.81	0.34	2.06	0.60558	NS
C	HLA-Cw0-0-0-0-0-27-0-0-0-0-0-0-0-0-0-0-0	0.71	0.39	1.35	0.24882	NS
C	HLA-Cw0-0-0-0-0-50-0-0-0-0-0-0-0-0-0-0-0	0.67	0.34	1.35	0.20897	NS
C	HLA-Cw0-0-0-0-0-64-0-0-0-0-0-0-0-0-0-0-0	1	0.51	2.05	0.99487	NS
C	HLA-Cw0-0-0-0-0-72-0-0-0-0-0-0-0-0-0-0-0	1.97	0.84	5.35	0.10372	NS
C	HLA-Cw0-0-0-0-0-85-0-0-0-0-0-0-0-0-0-0-0	1.05	0.61	1.83	0.864	NS
C	HLA-Cw0-0-0-0-0-88-0-0-0-0-0-0-0-0-0-0-0	0.94	0.63	1.41	0.75794	NS
C	binned	1.29	0.68	2.61	0.41991	NS
B	HLA-Bw0-0-0-0-0-1-0-0-0-0-0-0-0-0-0	1	0.67	1.5	0.98254	NS
B	HLA-Bw0-0-0-0-0-10-0-0-0-0-0-0-0-0-0	1.03	0.54	2.07	0.91888	NS
B	HLA-Bw0-0-0-0-0-105-0-0-0-0-0-0-0-0-0	0.59	0.29	1.24	0.11725	NS
B	HLA-Bw0-0-0-0-0-128-0-0-0-0-0-0-0-0-0	1.5	0.58	4.56	0.38304	NS
B	HLA-Bw0-0-0-0-0-144-0-0-0-0-0-0-0-0-0	1.49	0.47	6.21	0.48008	NS
B	HLA-Bw0-0-0-0-0-27-0-0-0-0-0-0-0-0-0	1.05	0.42	3.01	0.90844	NS
B	HLA-Bw0-0-0-0-0-50-0-0-0-0-0-0-0-0-0	1.65	0.76	3.96	0.18536	NS
B	HLA-Bw0-0-0-0-0-63-0-0-0-0-0-0-0-0-0	0.65	0.28	1.61	0.28068	NS
B	binned	0.96	0.63	1.46	0.82149	NS
DRB1	HLA-DRB1w0-0-0-0-0-12-0-0-0-0-0-0-0	0.65	0.28	1.61	0.28068	NS
DRB1	HLA-DRB1w0-0-0-0-0-15-0-0-0-0-0-0-0	1.92	0.86	4.86	0.096193	NS
DRB1	HLA-DRB1w0-0-0-0-0-2-0-0-0-0-0-0-0	0.86	0.49	1.56	0.58622	NS
DRB1	HLA-DRB1w0-0-0-0-0-20-0-0-0-0-0-0-0	0.79	0.41	1.57	0.45022	NS
DRB1	HLA-DRB1w0-0-0-0-0-4-0-0-0-0-0-0-0	1.02	0.51	2.16	0.95344	NS
DRB1	HLA-DRB1w0-0-0-0-0-47-0-0-0-0-0-0-0	1.24	0.85	1.81	0.23944	NS
DRB1	binned	0.18	0.04	0.67	0.0016938	*
DQB1	HLA-DQB1w0-0-0-0-0-1-0-0-0-0-0-0-0	1.97	0.89	4.98	0.082152	NS
DQB1	HLA-DQB1w0-0-0-0-0-116-0-0-0-0-0-0-0	1.11	0.76	1.61	0.5774	NS
DQB1	HLA-DQB1w0-0-0-0-0-12-0-0-0-0-0-0-0	0.69	0.39	1.25	0.18052	NS
DQB1	HLA-DQB1w0-0-0-0-0-22-0-0-0-0-0-0-0	1.11	0.58	2.27	0.73846	NS
DQB1	HLA-DQB1w0-0-0-0-0-3-0-0-0-0-0-0-0	0.88	0.39	2.1	0.73239	NS
DQB1	HLA-DQB1w0-0-0-0-0-73-0-0-0-0-0-0-0	0.49	0.22	1.11	0.052386	NS
DQB1	binned	1.16	0.47	3.29	0.73241	NS
DPB1	HLA-DPB1w0-0-0-0-0-2-0-0-0-0-0	1.4	0.89	2.25	0.13408	NS
DPB1	HLA-DPB1w0-0-0-0-0-3-0-0-0-0-0	0.8	0.53	1.19	0.25399	NS
DPB1	HLA-DPB1w0-0-0-0-0-6-0-0-0-0-0	0.92	0.5	1.78	0.7899	NS
DPB1	binned	0.73	0.04	43.58	0.80064	NS
