Locus	Allele	OR	CI.lower	CI.upper	p.value	sig
A	HLA-Aw0-0-0-0-1-0-0-0-0-0-0-0-0-0-0-0-0	1.1	0.66	1.91	0.69795	NS
A	HLA-Aw0-0-0-0-10-0-0-0-0-0-0-0-0-0-0-0-0	1.07	0.68	1.7	0.77572	NS
A	HLA-Aw0-0-0-0-13-0-0-0-0-0-0-0-0-0-0-0-0	0.91	0.41	2.19	0.81674	NS
A	HLA-Aw0-0-0-0-15-0-0-0-0-0-0-0-0-0-0-0-0	1.07	0.59	2.01	0.81432	NS
A	HLA-Aw0-0-0-0-18-0-0-0-0-0-0-0-0-0-0-0-0	1.04	0.56	2.03	0.90309	NS
A	HLA-Aw0-0-0-0-22-0-0-0-0-0-0-0-0-0-0-0-0	1.59	0.51	6.57	0.40971	NS
A	HLA-Aw0-0-0-0-4-0-0-0-0-0-0-0-0-0-0-0-0	0.75	0.49	1.17	0.1765	NS
A	HLA-Aw0-0-0-0-9-0-0-0-0-0-0-0-0-0-0-0-0	1.59	0.51	6.57	0.40971	NS
A	binned	0.92	0.38	2.45	0.83677	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.98	0.43	2.45	0.95883	NS
C	HLA-Cw0-0-0-0-10-0-0-0-0-0-0-0-0-0-0-0-0	1.02	0.61	1.75	0.94512	NS
C	HLA-Cw0-0-0-0-11-0-0-0-0-0-0-0-0-0-0-0-0	0.95	0.64	1.42	0.79858	NS
C	HLA-Cw0-0-0-0-2-0-0-0-0-0-0-0-0-0-0-0-0	1.31	0.84	2.09	0.21738	NS
C	HLA-Cw0-0-0-0-7-0-0-0-0-0-0-0-0-0-0-0-0	0.71	0.39	1.35	0.24882	NS
C	HLA-Cw0-0-0-0-8-0-0-0-0-0-0-0-0-0-0-0-0	0.67	0.34	1.35	0.20897	NS
C	binned	1.56	0.65	4.3	0.29924	NS
B	HLA-Bw0-0-0-0-1-0-0-0-0-0-0-0-0-0-0	0.98	0.66	1.47	0.91054	NS
B	HLA-Bw0-0-0-0-18-0-0-0-0-0-0-0-0-0-0	2.08	0.98	4.93	0.047207	*
B	HLA-Bw0-0-0-0-19-0-0-0-0-0-0-0-0-0-0	0.59	0.27	1.37	0.16413	NS
B	HLA-Bw0-0-0-0-21-0-0-0-0-0-0-0-0-0-0	0.73	0.39	1.42	0.30561	NS
B	HLA-Bw0-0-0-0-26-0-0-0-0-0-0-0-0-0-0	0.71	0.39	1.33	0.23546	NS
B	HLA-Bw0-0-0-0-3-0-0-0-0-0-0-0-0-0-0	1.03	0.54	2.07	0.91888	NS
B	HLA-Bw0-0-0-0-35-0-0-0-0-0-0-0-0-0-0	1.5	0.62	4.16	0.344	NS
B	HLA-Bw0-0-0-0-36-0-0-0-0-0-0-0-0-0-0	1.59	0.51	6.57	0.40971	NS
B	HLA-Bw0-0-0-0-8-0-0-0-0-0-0-0-0-0-0	1.01	0.42	2.68	0.97791	NS
B	binned	1.02	0.57	1.93	0.93479	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-0	1.18	0.41	4.2	0.7463	NS
DRB1	HLA-DRB1w0-0-0-0-12-0-0-0-0-0-0-0-0	1.92	0.86	4.86	0.096193	NS
DRB1	HLA-DRB1w0-0-0-0-14-0-0-0-0-0-0-0-0	0.48	0.2	1.19	0.06987	NS
DRB1	HLA-DRB1w0-0-0-0-18-0-0-0-0-0-0-0-0	0.96	0.48	2.04	0.90082	NS
DRB1	HLA-DRB1w0-0-0-0-24-0-0-0-0-0-0-0-0	0.79	0.27	2.58	0.6392	NS
DRB1	HLA-DRB1w0-0-0-0-40-0-0-0-0-0-0-0-0	1.19	0.82	1.73	0.34473	NS
DRB1	HLA-DRB1w0-0-0-0-9-0-0-0-0-0-0-0-0	0.48	0.18	1.31	0.092954	NS
DRB1	binned	0.87	0.52	1.5	0.59192	NS
DQB1	HLA-DQB1w0-0-0-0-1-0-0-0-0-0-0-0-0	1.97	0.89	4.98	0.082152	NS
DQB1	HLA-DQB1w0-0-0-0-10-0-0-0-0-0-0-0-0	0.55	0.24	1.33	0.12973	NS
DQB1	HLA-DQB1w0-0-0-0-15-0-0-0-0-0-0-0-0	1.28	0.88	1.86	0.18173	NS
DQB1	HLA-DQB1w0-0-0-0-16-0-0-0-0-0-0-0-0	0.45	0.19	1.12	0.048733	*
DQB1	HLA-DQB1w0-0-0-0-2-0-0-0-0-0-0-0-0	0.88	0.39	2.1	0.73239	NS
DQB1	HLA-DQB1w0-0-0-0-4-0-0-0-0-0-0-0-0	0.69	0.39	1.25	0.18052	NS
DQB1	HLA-DQB1w0-0-0-0-6-0-0-0-0-0-0-0-0	1.01	0.42	2.68	0.97791	NS
DQB1	binned	1.06	0.56	2.12	0.85342	NS
DPB1	HLA-DPB1w0-0-0-0-2-0-0-0-0-0-0	1.19	0.65	2.27	0.55202	NS
DPB1	HLA-DPB1w0-0-0-0-4-0-0-0-0-0-0	1.2	0.71	2.07	0.47664	NS
DPB1	HLA-DPB1w0-0-0-0-5-0-0-0-0-0-0	0.79	0.54	1.15	0.20264	NS
DPB1	HLA-DPB1w0-0-0-0-7-0-0-0-0-0-0	0.9	0.48	1.74	0.72521	NS
DPB1	binned	1.37	0.7	2.84	0.33697	NS
