Locus	Allele	OR	CI.lower	CI.upper	p.value	sig
A	HLA-Aw0-0-0-0-0-0-0-0-1-0-0-0-0-0-0-0-0	1.19	0.81	1.73	0.35454	NS
A	HLA-Aw0-0-0-0-0-0-0-0-10-0-0-0-0-0-0-0-0	1.59	0.51	6.57	0.40971	NS
A	HLA-Aw0-0-0-0-0-0-0-0-2-0-0-0-0-0-0-0-0	0.81	0.55	1.19	0.2552	NS
A	HLA-Aw0-0-0-0-0-0-0-0-7-0-0-0-0-0-0-0-0	0.9	0.42	2.05	0.76717	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.98	0.43	2.45	0.95883	NS
C	HLA-Cw0-0-0-0-0-0-0-0-1-0-0-0-0-0-0-0-0	0.75	0.41	1.42	0.33233	NS
C	HLA-Cw0-0-0-0-0-0-0-0-2-0-0-0-0-0-0-0-0	1.41	0.9	2.24	0.11964	NS
C	HLA-Cw0-0-0-0-0-0-0-0-4-0-0-0-0-0-0-0-0	0.71	0.39	1.35	0.24882	NS
C	HLA-Cw0-0-0-0-0-0-0-0-7-0-0-0-0-0-0-0-0	0.97	0.66	1.41	0.8502	NS
C	binned	1.2	0.36	5.13	0.75161	NS
B	HLA-Bw0-0-0-0-0-0-0-0-1-0-0-0-0-0-0	0.99	0.68	1.43	0.93887	NS
B	HLA-Bw0-0-0-0-0-0-0-0-2-0-0-0-0-0-0	1.51	0.82	2.96	0.17094	NS
B	HLA-Bw0-0-0-0-0-0-0-0-3-0-0-0-0-0-0	1.21	0.6	2.62	0.57231	NS
B	HLA-Bw0-0-0-0-0-0-0-0-5-0-0-0-0-0-0	0.96	0.57	1.67	0.87346	NS
B	HLA-Bw0-0-0-0-0-0-0-0-6-0-0-0-0-0-0	0.64	0.39	1.07	0.063735	NS
B	binned	3.36	0.46	147.95	0.22462	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-0	1.18	0.41	4.2	0.7463	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-1-0-0-0-0	0.65	0.28	1.61	0.28068	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-11-0-0-0-0	1.22	0.84	1.78	0.27379	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-2-0-0-0-0	1.92	0.86	4.86	0.096193	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-3-0-0-0-0	0.79	0.41	1.62	0.47734	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-4-0-0-0-0	0.96	0.48	2.04	0.90082	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-8-0-0-0-0	0.63	0.34	1.21	0.12348	NS
DRB1	binned	0.68	0.26	1.89	0.38385	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-1-0-0-0-0	1.38	0.78	2.57	0.25045	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-11-0-0-0-0	1.11	0.76	1.61	0.5774	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-3-0-0-0-0	0.69	0.39	1.25	0.18052	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-5-0-0-0-0	1.01	0.42	2.68	0.97791	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-7-0-0-0-0	0.59	0.29	1.24	0.11725	NS
DQB1	binned	1.18	0.57	2.65	0.63632	NS
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-1-0-0	0.73	0.45	1.14	0.14802	NS
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-2-0-0	1.23	0.74	2.1	0.39915	NS
DPB1	binned	1.61	0.71	4.11	0.23513	NS
