Locus	Allele	OR	CI.lower	CI.upper	p.value	sig
A	HLA-Aw0-0-1-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1.05	0.66	1.68	0.83208	NS
A	HLA-Aw0-0-10-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.97	0.52	1.87	0.92028	NS
A	HLA-Aw0-0-15-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1.59	0.51	6.57	0.40971	NS
A	HLA-Aw0-0-17-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1.59	0.51	6.57	0.40971	NS
A	HLA-Aw0-0-4-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.78	0.51	1.21	0.2312	NS
A	HLA-Aw0-0-5-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1.07	0.59	2.01	0.81432	NS
A	HLA-Aw0-0-7-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1.07	0.68	1.7	0.77572	NS
A	binned	0.92	0.38	2.45	0.83677	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.98	0.43	2.45	0.95883	NS
C	HLA-Cw0-0-10-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1.03	0.6	1.8	0.91884	NS
C	HLA-Cw0-0-13-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.95	0.64	1.41	0.78272	NS
C	HLA-Cw0-0-3-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1.29	0.71	2.45	0.37892	NS
C	HLA-Cw0-0-4-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.71	0.39	1.35	0.24882	NS
C	HLA-Cw0-0-5-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.67	0.34	1.35	0.20897	NS
C	HLA-Cw0-0-8-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1.03	0.53	2.11	0.93561	NS
C	HLA-Cw0-0-9-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1.97	0.84	5.35	0.10372	NS
C	binned	1.23	0.31	7.05	0.75424	NS
B	HLA-Bw0-0-1-0-0-0-0-0-0-0-0-0-0-0-0	0.96	0.65	1.44	0.83965	NS
B	HLA-Bw0-0-10-0-0-0-0-0-0-0-0-0-0-0-0	0.71	0.39	1.33	0.23546	NS
B	HLA-Bw0-0-11-0-0-0-0-0-0-0-0-0-0-0-0	1.03	0.58	1.91	0.91943	NS
B	HLA-Bw0-0-17-0-0-0-0-0-0-0-0-0-0-0-0	1.59	0.51	6.57	0.40971	NS
B	HLA-Bw0-0-2-0-0-0-0-0-0-0-0-0-0-0-0	1.02	0.57	1.93	0.93479	NS
B	HLA-Bw0-0-5-0-0-0-0-0-0-0-0-0-0-0-0	0.99	0.55	1.83	0.95879	NS
B	HLA-Bw0-0-9-0-0-0-0-0-0-0-0-0-0-0-0	1.65	0.76	3.96	0.18536	NS
B	binned	0.92	0.52	1.66	0.75728	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-0	1.18	0.41	4.2	0.7463	NS
DRB1	HLA-DRB1w0-0-11-0-0-0-0-0-0-0-0-0-0	0.48	0.2	1.19	0.06987	NS
DRB1	HLA-DRB1w0-0-15-0-0-0-0-0-0-0-0-0-0	0.96	0.48	2.04	0.90082	NS
DRB1	HLA-DRB1w0-0-22-0-0-0-0-0-0-0-0-0-0	0.82	0.33	2.23	0.64801	NS
DRB1	HLA-DRB1w0-0-34-0-0-0-0-0-0-0-0-0-0	1.19	0.82	1.73	0.34473	NS
DRB1	HLA-DRB1w0-0-6-0-0-0-0-0-0-0-0-0-0	0.48	0.18	1.31	0.092954	NS
DRB1	HLA-DRB1w0-0-9-0-0-0-0-0-0-0-0-0-0	1.92	0.86	4.86	0.096193	NS
DRB1	binned	0.87	0.51	1.53	0.60087	NS
DQB1	HLA-DQB1w0-0-1-0-0-0-0-0-0-0-0-0-0	1.97	0.89	4.98	0.082152	NS
DQB1	HLA-DQB1w0-0-10-0-0-0-0-0-0-0-0-0-0	1.28	0.88	1.86	0.18173	NS
DQB1	HLA-DQB1w0-0-11-0-0-0-0-0-0-0-0-0-0	0.45	0.19	1.12	0.048733	*
DQB1	HLA-DQB1w0-0-2-0-0-0-0-0-0-0-0-0-0	0.88	0.39	2.1	0.73239	NS
DQB1	HLA-DQB1w0-0-3-0-0-0-0-0-0-0-0-0-0	0.69	0.39	1.25	0.18052	NS
DQB1	HLA-DQB1w0-0-5-0-0-0-0-0-0-0-0-0-0	1.01	0.42	2.68	0.97791	NS
DQB1	HLA-DQB1w0-0-7-0-0-0-0-0-0-0-0-0-0	0.59	0.29	1.24	0.11725	NS
DQB1	binned	1.18	0.57	2.65	0.63632	NS
DPB1	HLA-DPB1w0-0-10-0-0-0-0-0-0-0-0	0.92	0.33	2.94	0.85922	NS
DPB1	HLA-DPB1w0-0-3-0-0-0-0-0-0-0-0	1.1	0.62	2.02	0.74617	NS
DPB1	HLA-DPB1w0-0-4-0-0-0-0-0-0-0-0	1.38	0.75	2.66	0.27594	NS
DPB1	HLA-DPB1w0-0-5-0-0-0-0-0-0-0-0	0.75	0.52	1.1	0.12615	NS
DPB1	HLA-DPB1w0-0-6-0-0-0-0-0-0-0-0	0.9	0.48	1.74	0.72521	NS
DPB1	binned	1.73	0.83	3.94	0.12694	NS
