Locus	Allele	OR	CI.lower	CI.upper	p.value	sig
A	HLA-Aw0-0-0-0-0-0-0-1-0-0-0-0-0-0-0-0-0	1.43	1.17	1.75	0.00035714	*
A	HLA-Aw0-0-0-0-0-0-0-10-0-0-0-0-0-0-0-0-0	0.7	0.47	1.04	0.063339	NS
A	HLA-Aw0-0-0-0-0-0-0-16-0-0-0-0-0-0-0-0-0	1.34	0.98	1.83	0.057878	NS
A	HLA-Aw0-0-0-0-0-0-0-21-0-0-0-0-0-0-0-0-0	0.95	0.63	1.41	0.77505	NS
A	HLA-Aw0-0-0-0-0-0-0-23-0-0-0-0-0-0-0-0-0	0.82	0.47	1.44	0.46705	NS
A	HLA-Aw0-0-0-0-0-0-0-26-0-0-0-0-0-0-0-0-0	0.28	0.05	1.05	0.034769	*
A	HLA-Aw0-0-0-0-0-0-0-30-0-0-0-0-0-0-0-0-0	0.95	0.55	1.65	0.85169	NS
A	HLA-Aw0-0-0-0-0-0-0-4-0-0-0-0-0-0-0-0-0	0.68	0.54	0.85	0.00064731	*
A	HLA-Aw0-0-0-0-0-0-0-50-0-0-0-0-0-0-0-0-0	Inf	0.03	Inf	0.3125	NS
C	HLA-Cw0-0-0-0-0-0-0-1-0-0-0-0-0-0-0-0-0	0.78	0.41	1.46	0.40602	NS
C	HLA-Cw0-0-0-0-0-0-0-15-0-0-0-0-0-0-0-0-0	1.64	1.33	2.03	1.7555e-06	*
C	HLA-Cw0-0-0-0-0-0-0-2-0-0-0-0-0-0-0-0-0	0.93	0.74	1.16	0.48251	NS
C	HLA-Cw0-0-0-0-0-0-0-21-0-0-0-0-0-0-0-0-0	0.51	0.14	1.64	0.20788	NS
C	HLA-Cw0-0-0-0-0-0-0-24-0-0-0-0-0-0-0-0-0	0.69	0.38	1.24	0.18967	NS
C	HLA-Cw0-0-0-0-0-0-0-25-0-0-0-0-0-0-0-0-0	2.58	0.94	8.15	0.043275	*
C	HLA-Cw0-0-0-0-0-0-0-3-0-0-0-0-0-0-0-0-0	0.8	0.49	1.3	0.33518	NS
C	HLA-Cw0-0-0-0-0-0-0-4-0-0-0-0-0-0-0-0-0	0.8	0.45	1.39	0.39387	NS
C	HLA-Cw0-0-0-0-0-0-0-6-0-0-0-0-0-0-0-0-0	0.66	0.48	0.91	0.0074216	*
C	HLA-Cw0-0-0-0-0-0-0-9-0-0-0-0-0-0-0-0-0	0.83	0.59	1.15	0.24186	NS
C	binned	0.17	0	1.4	0.061713	NS
B	HLA-Bw0-0-0-0-0-0-0-1-0-0-0-0-0-0-0	1.3	1.02	1.67	0.030775	*
B	HLA-Bw0-0-0-0-0-0-0-13-0-0-0-0-0-0-0	0.83	0.63	1.09	0.16893	NS
B	HLA-Bw0-0-0-0-0-0-0-17-0-0-0-0-0-0-0	0.61	0.44	0.85	0.0023885	*
B	HLA-Bw0-0-0-0-0-0-0-20-0-0-0-0-0-0-0	1.13	0.65	1.98	0.63614	NS
B	HLA-Bw0-0-0-0-0-0-0-3-0-0-0-0-0-0-0	1.1	0.87	1.39	0.42389	NS
B	HLA-Bw0-0-0-0-0-0-0-6-0-0-0-0-0-0-0	0.7	0.47	1.05	0.069081	NS
B	HLA-Bw0-0-0-0-0-0-0-7-0-0-0-0-0-0-0	1.21	0.94	1.55	0.12312	NS
B	binned	1.02	0.07	14.09	0.9846	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-0	Inf	0.03	Inf	0.3125	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-1-0-0-0-0-0	0.49	0.39	0.62	1.1154e-09	*
DRB1	HLA-DRB1w0-0-0-0-0-0-0-2-0-0-0-0-0	2.31	1.87	2.84	4.4717e-16	*
DRB1	HLA-DRB1w0-0-0-0-0-0-0-4-0-0-0-0-0	0.57	0.41	0.79	0.00045001	*
DRB1	HLA-DRB1w0-0-0-0-0-0-0-5-0-0-0-0-0	0.62	0.32	1.17	0.11858	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-1-0-0-0-0-0	1.08	0.84	1.38	0.53187	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-2-0-0-0-0-0	0.62	0.48	0.8	0.00013267	*
DQB1	HLA-DQB1w0-0-0-0-0-0-0-3-0-0-0-0-0	0.62	0.46	0.82	0.00052923	*
DQB1	HLA-DQB1w0-0-0-0-0-0-0-6-0-0-0-0-0	0.54	0.4	0.71	8.97e-06	*
DQB1	HLA-DQB1w0-0-0-0-0-0-0-7-0-0-0-0-0	1.02	0.36	2.92	0.9672	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-8-0-0-0-0-0	2.69	2.14	3.37	< 2.22e-16	*
DPB1	HLA-DPB1w0-0-0-0-0-0-0-1-0-0-0	1.16	0.69	1.94	0.55735	NS
DPB1	HLA-DPB1w0-0-0-0-0-0-0-2-0-0-0	0.85	0.58	1.24	0.38759	NS
DPB1	HLA-DPB1w0-0-0-0-0-0-0-3-0-0-0	1.07	0.58	1.97	0.82418	NS
DPB1	binned	1.8	0.45	8.39	0.34531	NS
