Locus	Allele	OR	CI.lower	CI.upper	p.value	sig
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	Inf	0.34	Inf	0.05806	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-1-0-0-0-0	1	0.77	1.3	0.99921	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-10-0-0-0-0	0.54	0.25	1.06	0.060755	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-3-0-0-0-0	0.69	0.4	1.14	0.12869	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-4-0-0-0-0	1.01	0.67	1.51	0.96225	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-6-0-0-0-0	1.59	1.07	2.36	0.014996	*
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-9-0-0-0-0	0.93	0.53	1.59	0.78312	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.78	0.42	1.39	0.38192	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-1-0-0-0-0	0.82	0.63	1.07	0.13629	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-12-0-0-0-0	0.74	0.31	1.63	0.42894	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-13-0-0-0-0	0.5	0.2	1.14	0.083574	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-15-0-0-0-0	3.36	1.13	11.13	0.012231	*
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-7-0-0-0-0	1.42	1.06	1.89	0.014864	*
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-1-0-0	1.05	0.81	1.37	0.68053	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-10-0-0	1.36	0.69	2.66	0.33091	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-2-0-0	2.15	1.48	3.12	1.891e-05	*
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-4-0-0	0.72	0.43	1.18	0.17488	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-6-0-0	0.98	0.51	1.82	0.93727	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-7-0-0	0.27	0.1	0.6	0.00056529	*
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-9-0-0	0.55	0.34	0.86	0.0069036	*
B	binned	2.17	0.55	9.05	0.1926	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-0	NCalc	NCalc	NCalc	NCalc	NCalc
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-0-0-0	NCalc	NCalc	NCalc	NCalc	NCalc
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-0-0	NCalc	NCalc	NCalc	NCalc	NCalc
