Locus	Allele	OR	CI.lower	CI.upper	p.value	sig
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-1-0-0-0-0-0	1.15	0.79	1.68	0.44059	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-2-0-0-0-0-0	0.87	0.59	1.26	0.44059	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-1-0-0-0-0-0	NCalc	NCalc	NCalc	NCalc	NCalc
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0	0	14.34	0.098851	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-1-0-0-0	Inf	0.07	Inf	0.098851	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-1-0	NCalc	NCalc	NCalc	NCalc	NCalc
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-0-0-0	Inf	0.01	Inf	0.54392	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-0-1-0	1.03	0.7	1.54	0.86994	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-0-2-0	0.96	0.64	1.42	0.82936	NS
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-0-0	NCalc	NCalc	NCalc	NCalc	NCalc
