Locus	Allele	OR	CI.lower	CI.upper	p.value	sig
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-1-0-0-0-0-0-0	1.44	1.02	2.02	0.030057	*
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-11-0-0-0-0-0-0	0.93	0.53	1.59	0.78312	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-12-0-0-0-0-0-0	0.69	0.4	1.14	0.12869	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-14-0-0-0-0-0-0	1.31	0.45	3.61	0.56351	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-15-0-0-0-0-0-0	4.03	1.28	14.9	0.0056155	*
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-17-0-0-0-0-0-0	0.54	0.25	1.06	0.060755	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-2-0-0-0-0-0-0	0.63	0.47	0.85	0.0016227	*
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-5-0-0-0-0-0-0	1.01	0.67	1.51	0.96225	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-7-0-0-0-0-0-0	1.09	0.63	1.85	0.73726	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-9-0-0-0-0-0-0	1.59	1.07	2.36	0.014996	*
A	binned	Inf	1.65	Inf	0.0026915	*
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.78	0.42	1.39	0.38192	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-1-0-0-0-0-0-0	1	0.69	1.45	0.9802	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-11-0-0-0-0-0-0	1	0.26	3.34	0.99403	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-13-0-0-0-0-0-0	0.79	0.18	2.87	0.7029	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-14-0-0-0-0-0-0	0.5	0.2	1.14	0.083574	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-15-0-0-0-0-0-0	3.36	1.13	11.13	0.012231	*
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-2-0-0-0-0-0-0	0.95	0.71	1.27	0.73137	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-4-0-0-0-0-0-0	0.74	0.31	1.63	0.42894	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-6-0-0-0-0-0-0	0.73	0.48	1.09	0.10881	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-8-0-0-0-0-0-0	1.43	1.07	1.92	0.013193	*
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-1-0-0-0-0	0.93	0.53	1.59	0.78312	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-10-0-0-0-0	0.81	0.22	2.56	0.70147	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-11-0-0-0-0	0.93	0.53	1.59	0.78312	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-12-0-0-0-0	1.47	0.64	3.31	0.30432	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-13-0-0-0-0	1.18	0.62	2.22	0.57668	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-15-0-0-0-0	0.96	0.68	1.35	0.81579	NS
