Locus	Allele	OR	CI.lower	CI.upper	p.value	sig
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-1-0-0-0-0	0.93	0.64	1.35	0.67859	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-10-0-0-0-0	1.59	0.51	6.57	0.40971	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-3-0-0-0-0	0.9	0.42	2.05	0.76717	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-4-0-0-0-0	1.07	0.68	1.7	0.77572	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-6-0-0-0-0	1.07	0.59	2.01	0.81432	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-9-0-0-0-0	0.91	0.44	2.01	0.7984	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.98	0.43	2.45	0.95883	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-1-0-0-0-0	1.01	0.69	1.48	0.96843	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-7-0-0-0-0	0.97	0.66	1.41	0.8502	NS
C	binned	1.15	0.51	2.84	0.71697	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-1-0-0	1.22	0.83	1.8	0.28687	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-2-0-0	1.06	0.56	2.12	0.85342	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-4-0-0	1.65	0.6	5.67	0.31585	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-6-0-0	0.59	0.27	1.37	0.16413	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-9-0-0	0.71	0.39	1.33	0.23546	NS
B	binned	0.84	0.37	2.02	0.64888	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-0	NCalc	NCalc	NCalc	NCalc	NCalc
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-0-0-0	NCalc	NCalc	NCalc	NCalc	NCalc
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-0-0	NCalc	NCalc	NCalc	NCalc	NCalc
