Locus	Allele	OR	CI.lower	CI.upper	p.value	sig
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	Inf	0.34	Inf	0.05806	NS
A	HLA-Aw0-0-0-0-0-0-1-0-0-0-0-0-0-0-0-0-0	1.37	1.01	1.85	0.034539	*
A	HLA-Aw0-0-0-0-0-0-15-0-0-0-0-0-0-0-0-0-0	0.55	0.22	1.2	0.11228	NS
A	HLA-Aw0-0-0-0-0-0-16-0-0-0-0-0-0-0-0-0-0	1.82	0.71	4.67	0.1606	NS
A	HLA-Aw0-0-0-0-0-0-17-0-0-0-0-0-0-0-0-0-0	4.03	1.28	14.9	0.0056155	*
A	HLA-Aw0-0-0-0-0-0-18-0-0-0-0-0-0-0-0-0-0	0.54	0.25	1.06	0.060755	NS
A	HLA-Aw0-0-0-0-0-0-2-0-0-0-0-0-0-0-0-0-0	0.62	0.45	0.86	0.0027033	*
A	HLA-Aw0-0-0-0-0-0-22-0-0-0-0-0-0-0-0-0-0	0.39	0.1	1.2	0.081352	NS
A	HLA-Aw0-0-0-0-0-0-4-0-0-0-0-0-0-0-0-0-0	1.23	0.55	2.67	0.56392	NS
A	HLA-Aw0-0-0-0-0-0-6-0-0-0-0-0-0-0-0-0-0	0.88	0.57	1.35	0.55342	NS
A	HLA-Aw0-0-0-0-0-0-7-0-0-0-0-0-0-0-0-0-0	1.01	0.67	1.51	0.96225	NS
A	HLA-Aw0-0-0-0-0-0-9-0-0-0-0-0-0-0-0-0-0	1.59	1.07	2.36	0.014996	*
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.78	0.42	1.39	0.38192	NS
C	HLA-Cw0-0-0-0-0-0-1-0-0-0-0-0-0-0-0-0-0	0.82	0.36	1.75	0.58243	NS
C	HLA-Cw0-0-0-0-0-0-11-0-0-0-0-0-0-0-0-0-0	0.97	0.59	1.57	0.90526	NS
C	HLA-Cw0-0-0-0-0-0-13-0-0-0-0-0-0-0-0-0-0	1.42	1.06	1.89	0.014864	*
C	HLA-Cw0-0-0-0-0-0-17-0-0-0-0-0-0-0-0-0-0	0.78	0.39	1.5	0.43706	NS
C	HLA-Cw0-0-0-0-0-0-18-0-0-0-0-0-0-0-0-0-0	0.79	0.18	2.87	0.7029	NS
C	HLA-Cw0-0-0-0-0-0-19-0-0-0-0-0-0-0-0-0-0	0.74	0.31	1.63	0.42894	NS
C	HLA-Cw0-0-0-0-0-0-2-0-0-0-0-0-0-0-0-0-0	1.02	0.71	1.44	0.9155	NS
C	HLA-Cw0-0-0-0-0-0-20-0-0-0-0-0-0-0-0-0-0	0.5	0.2	1.14	0.083574	NS
C	HLA-Cw0-0-0-0-0-0-21-0-0-0-0-0-0-0-0-0-0	3.36	1.13	11.13	0.012231	*
C	HLA-Cw0-0-0-0-0-0-4-0-0-0-0-0-0-0-0-0-0	0.73	0.48	1.09	0.10881	NS
C	HLA-Cw0-0-0-0-0-0-8-0-0-0-0-0-0-0-0-0-0	1.07	0.71	1.61	0.73631	NS
B	HLA-Bw0-0-0-0-0-0-1-0-0-0-0-0-0-0-0	0.58	0.36	0.9	0.010818	*
B	HLA-Bw0-0-0-0-0-0-10-0-0-0-0-0-0-0-0	1.08	0.41	2.66	0.86128	NS
B	HLA-Bw0-0-0-0-0-0-11-0-0-0-0-0-0-0-0	1.08	0.68	1.68	0.73303	NS
B	HLA-Bw0-0-0-0-0-0-14-0-0-0-0-0-0-0-0	0.96	0.68	1.35	0.81579	NS
B	HLA-Bw0-0-0-0-0-0-15-0-0-0-0-0-0-0-0	0.7	0.31	1.46	0.31276	NS
B	HLA-Bw0-0-0-0-0-0-2-0-0-0-0-0-0-0-0	2.15	1.48	3.12	1.891e-05	*
B	HLA-Bw0-0-0-0-0-0-24-0-0-0-0-0-0-0-0	0.98	0.29	2.91	0.96436	NS
B	HLA-Bw0-0-0-0-0-0-25-0-0-0-0-0-0-0-0	2.04	0.69	6.13	0.13745	NS
B	HLA-Bw0-0-0-0-0-0-27-0-0-0-0-0-0-0-0	1.05	0.49	2.14	0.89243	NS
B	HLA-Bw0-0-0-0-0-0-4-0-0-0-0-0-0-0-0	0.78	0.34	1.67	0.50344	NS
B	HLA-Bw0-0-0-0-0-0-5-0-0-0-0-0-0-0-0	0.78	0.39	1.5	0.43706	NS
B	HLA-Bw0-0-0-0-0-0-6-0-0-0-0-0-0-0-0	1.37	0.84	2.21	0.17635	NS
B	HLA-Bw0-0-0-0-0-0-9-0-0-0-0-0-0-0-0	0.64	0.44	0.93	0.015494	*
B	binned	1.48	0.54	3.96	0.38673	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-0	0.82	0.49	1.35	0.41717	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-16-0-0-0-0-0-0	0.64	0.41	1	0.04291	*
DRB1	HLA-DRB1w0-0-0-0-0-0-17-0-0-0-0-0-0	0.96	0.32	2.63	0.93923	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-18-0-0-0-0-0-0	2.26	1.58	3.24	2.5518e-06	*
DRB1	HLA-DRB1w0-0-0-0-0-0-19-0-0-0-0-0-0	0.69	0.45	1.04	0.062935	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-20-0-0-0-0-0-0	1.02	0.37	2.65	0.95631	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-21-0-0-0-0-0-0	0.58	0.38	0.88	0.007446	*
DRB1	HLA-DRB1w0-0-0-0-0-0-25-0-0-0-0-0-0	0.91	0.61	1.35	0.63811	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-26-0-0-0-0-0-0	1	0.26	3.34	0.99403	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-27-0-0-0-0-0-0	1.46	0.87	2.45	0.12575	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-28-0-0-0-0-0-0	1.55	0.88	2.72	0.10072	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-30-0-0-0-0-0-0	0.95	0.37	2.27	0.89767	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-33-0-0-0-0-0-0	1.08	0.47	2.35	0.83947	NS
DRB1	binned	1.26	0.58	2.67	0.50697	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-1-0-0-0-0-0-0	2.26	1.57	3.25	2.9026e-06	*
DQB1	HLA-DQB1w0-0-0-0-0-0-11-0-0-0-0-0-0	1.53	0.93	2.53	0.074221	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-12-0-0-0-0-0-0	1.6	0.91	2.83	0.079166	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-18-0-0-0-0-0-0	0.56	0.2	1.38	0.1837	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-2-0-0-0-0-0-0	0.63	0.39	1.01	0.046437	*
DQB1	HLA-DQB1w0-0-0-0-0-0-4-0-0-0-0-0-0	0.85	0.62	1.16	0.30223	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-5-0-0-0-0-0-0	0.79	0.52	1.2	0.25211	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-6-0-0-0-0-0-0	0.65	0.29	1.35	0.22115	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-7-0-0-0-0-0-0	0.73	0.49	1.09	0.10899	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-8-0-0-0-0-0-0	0.84	0.31	2.08	0.68761	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-9-0-0-0-0-0-0	1.14	0.5	2.5	0.73244	NS
DQB1	binned	0.65	0.15	2.21	0.45693	NS
DPB1	HLA-DPB1w0-0-0-0-0-0-2-0-0-0-0	0.89	0.67	1.19	0.41666	NS
DPB1	HLA-DPB1w0-0-0-0-0-0-3-0-0-0-0	1.05	0.76	1.43	0.76487	NS
DPB1	HLA-DPB1w0-0-0-0-0-0-805-0-0-0-0	1.54	0.85	2.75	0.12034	NS
DPB1	HLA-DPB1w0-0-0-0-0-0-809-0-0-0-0	0.6	0.17	1.74	0.3138	NS
DPB1	binned	1.2	0.35	3.82	0.72544	NS
