Locus	Allele	OR	CI.lower	CI.upper	p.value	sig
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-1-0-0-0	0.95	0.64	1.39	0.78583	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-0-0	1.01	0.61	1.7	0.9698	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-3-0-0-0	1.07	0.68	1.7	0.77572	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-1-0-0-0	1.03	0.71	1.49	0.88892	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-3-0-0-0	0.97	0.67	1.42	0.88892	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0	0	14.34	0.098851	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-1-0	0.72	0.48	1.07	0.089521	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-2-0	1.43	0.96	2.15	0.066014	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-0	NCalc	NCalc	NCalc	NCalc	NCalc
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-0-0-0	NCalc	NCalc	NCalc	NCalc	NCalc
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-0-0	NCalc	NCalc	NCalc	NCalc	NCalc
