Locus	Allele	OR	CI.lower	CI.upper	p.value	sig
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-1-0-0-0	1.02	0.83	1.25	0.85483	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-0-0	0.75	0.58	0.97	0.022696	*
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-3-0-0-0	1.35	1.02	1.77	0.028144	*
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0	0	39.76	0.32183	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-1-0-0-0	0.61	0.5	0.75	2.2835e-06	*
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-3-0-0-0	1.64	1.33	2.03	1.7555e-06	*
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1.02	0.01	80.07	0.98912	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-1-0	1.07	0.88	1.3	0.49946	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-2-0	0.94	0.77	1.14	0.49877	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-0	NCalc	NCalc	NCalc	NCalc	NCalc
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-0-0-0	NCalc	NCalc	NCalc	NCalc	NCalc
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-0-0	NCalc	NCalc	NCalc	NCalc	NCalc
