Locus	Allele	OR	CI.lower	CI.upper	p.value	sig
A	HLA-Aw0-0-0-0-0-0-0-0-0-1-0-0-0-0-0-0-0	1.15	0.79	1.68	0.44059	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-3-0-0-0-0-0-0-0	0.81	0.53	1.23	0.28533	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-4-0-0-0-0-0-0-0	1.59	0.51	6.57	0.40971	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-6-0-0-0-0-0-0-0	0.64	0.16	3.01	0.47429	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-7-0-0-0-0-0-0-0	1.2	0.63	2.44	0.56504	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-8-0-0-0-0-0-0-0	0.91	0.44	2.01	0.7984	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-9-0-0-0-0-0-0-0	0.9	0.42	2.05	0.76717	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-1-0-0-0-0-0-0-0	0.74	0.42	1.32	0.26535	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-2-0-0-0-0-0-0-0	0.81	0.34	2.06	0.60558	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-3-0-0-0-0-0-0-0	1.55	0.9	2.77	0.10128	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-4-0-0-0-0-0-0-0	1.03	0.53	2.11	0.93561	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-6-0-0-0-0-0-0-0	0.72	0.36	1.48	0.31072	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-7-0-0-0-0-0-0-0	0.97	0.67	1.42	0.88892	NS
C	binned	1.68	0.54	6.93	0.34834	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-1-0-0-0-0-0	0.9	0.61	1.34	0.58873	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-10-0-0-0-0-0	1.59	0.51	6.57	0.40971	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-3-0-0-0-0-0	0.75	0.49	1.15	0.15708	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-5-0-0-0-0-0	1.65	0.6	5.67	0.31585	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-6-0-0-0-0-0	1.34	0.89	2.04	0.14588	NS
B	binned	0.36	0.07	1.97	0.13771	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-1-0-0-0	1.06	0.66	1.69	0.78411	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-2-0-0-0	0.93	0.59	1.52	0.76809	NS
DRB1	binned	1.1	0.09	58.28	0.932	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-0-0-0	Inf	0.01	Inf	0.54392	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-1-0-0-0	0	0	105.89	0.54392	NS
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-0-0	0	0	14.34	0.098851	NS
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-1-0	Inf	0.07	Inf	0.098851	NS
